District Name,SPED_ENR_N,TOTAL_ENR,SPED_PROP,PS_RCGT80_%,PS_RC4079_%,PS_RCL40_%,PS_SSOS_%,PS_PSS_%,PS_MUK_%,RB,RB_PROP,RI,RI_PROP,RA,RA_PROP,RF,RF_PROP,RH,RH_PROP,RD,RD_PROP,RP,RP_PROP,RT,RT_PROP,RW,RW_PROP,state,urban code,city,Cluster
garden grove unified,5421.0,37763.0,0.1435532134629134,49.2,21.9,21.6,1.7,5.6,0,39,0.0071942446043165,0,0.0,1280,0.2361187972698764,53,0.0097767939494558,3480,0.6419479800774764,64,0.0118059398634938,22,0.004058291828076,105,0.0193691200885445,368,0.0678841542150894,CA,21,GARDEN GROVE,1
gilroy unified,1521.0,10784.0,0.1410422848664688,70.0,7.2,17.3,0.9,4.5,0,15,0.009861932938856,0,0.0,45,0.029585798816568,26,0.017094017094017,1117,0.7343852728468113,143,0.094017094017094,0,0.0,25,0.0164365548980933,144,0.0946745562130177,CA,23,GILROY,0
grossmont union high,3713.0,21697.0,0.1711296492602664,58.5,26.0,10.2,5.3,0.0,0,276,0.0743334231079989,24,0.0064637759224346,39,0.0105036358739563,27,0.007271747912739,1792,0.4826286022084567,11,0.0029625639644492,0,0.0,253,0.0681389711823323,1283,0.3455426878534877,CA,21,LA MESA,2
hanford elementary,627.0,5568.0,0.1126077586206896,79.3,2.9,15.2,0.0,2.7,0,38,0.0606060606060606,0,0.0,0,0.0,0,0.0,480,0.7655502392344498,0,0.0,0,0.0,19,0.0303030303030303,81,0.1291866028708134,CA,32,HANFORD,0
hawthorne,696.0,7025.0,0.0990747330960854,61.9,3.0,21.8,0.7,12.5,0,151,0.2169540229885057,0,0.0,0,0.0,0,0.0,471,0.6767241379310345,30,0.043103448275862,0,0.0,0,0.0,23,0.0330459770114942,CA,21,HAWTHORNE,1
hayward unified,2850.0,20193.0,0.1411380181250928,57.3,10.5,24.0,2.0,6.2,0,265,0.0929824561403508,0,0.0,150,0.0526315789473684,149,0.0522807017543859,1942,0.6814035087719298,23,0.0080701754385964,60,0.0210526315789473,119,0.0417543859649122,136,0.047719298245614,CA,12,HAYWARD,1
helendale elementary,968.0,7311.0,0.1324032280125837,86.4,9.8,2.7,0.5,0.6,0,50,0.0516528925619834,0,0.0,14,0.0144628099173553,0,0.0,540,0.5578512396694215,0,0.0,0,0.0,53,0.0547520661157024,291,0.3006198347107438,CA,41,HELENDALE,0
hesperia unified,3381.0,25356.0,0.133341221012778,53.5,22.3,19.6,1.5,3.1,0,334,0.0987873410233658,0,0.0,12,0.0035492457852706,0,0.0,2429,0.7184265010351967,0,0.0,0,0.0,73,0.0215912451937296,510,0.1508429458740017,CA,22,HESPERIA,2
hollister,897.0,6306.0,0.1422454804947669,69.3,4.2,16.8,8.2,1.3,0,0,0.0,0,0.0,0,0.0,0,0.0,757,0.8439241917502787,12,0.0133779264214046,0,0.0,13,0.0144927536231884,84,0.0936454849498327,CA,32,HOLLISTER,0
huntington beach union high,1603.0,14104.0,0.1136557005104934,39.2,40.5,18.5,1.7,0.0,0,28,0.0174672489082969,0,0.0,218,0.1359950093574547,0,0.0,723,0.4510293200249532,14,0.0087336244541484,0,0.0,67,0.0417966313162819,528,0.329382407985028,CA,21,HUNTINGTON BEACH,2
irvine unified,3878.0,37952.0,0.1021817032040472,62.7,9.5,16.5,2.2,9.1,0,163,0.0420319752449716,0,0.0,1192,0.3073749355337803,95,0.0244971634863331,891,0.2297576070139247,0,0.0,12,0.003094378545642,415,0.1070139247034553,1095,0.2823620422898401,CA,12,IRVINE,1
jefferson elementary,1073.0,8890.0,0.120697412823397,57.7,8.9,21.0,0.3,12.0,0,24,0.0223671947809878,0,0.0,76,0.0708294501397949,0,0.0,105,0.097856477166822,0,0.0,0,0.0,16,0.0149114631873252,55,0.0512581547064305,CA,21,DALY CITY,1
jefferson union high,488.0,4155.0,0.1174488567990373,51.2,27.5,14.8,6.6,0.0,0,16,0.0327868852459016,0,0.0,34,0.0696721311475409,83,0.1700819672131147,222,0.4549180327868852,0,0.0,0,0.0,41,0.0840163934426229,86,0.1762295081967213,CA,43,PAICINES,2
jurupa unified,2335.0,18015.0,0.1296142103802386,57.2,14.9,21.5,2.8,3.6,0,64,0.0274089935760171,0,0.0,23,0.0098501070663811,0,0.0,2006,0.859100642398287,26,0.0111349036402569,0,0.0,21,0.0089935760171306,174,0.0745182012847965,CA,23,TRACY,1
kings county office of education,502.0,363.0,1.3829201101928374,1.4,2.8,37.1,26.3,32.5,0,20,0.0398406374501992,0,0.0,0,0.0,11,0.0219123505976095,349,0.6952191235059761,0,0.0,0,0.0,16,0.0318725099601593,86,0.1713147410358565,CA,21,DALY CITY,3
la mesa-spring valley,2099.0,11032.0,0.1902646845540246,50.1,27.9,12.1,0.7,9.2,0,189,0.0900428775607432,0,0.0,32,0.0152453549309194,42,0.0200095283468318,1202,0.5726536445926632,0,0.0,0,0.0,157,0.0747975226298237,464,0.2210576464983325,CA,21,RIVERSIDE,2
lake elsinore unified,3291.0,21257.0,0.1548195888413228,55.2,18.3,20.0,0.9,5.6,0,191,0.0580370707991491,12,0.0036463081130355,40,0.0121543603767851,35,0.010635065329687,2175,0.6608933454876937,15,0.0045578851412944,0,0.0,151,0.045882710422364,663,0.2014585232452142,CA,32,HANFORD,1
lake tahoe unified,497.0,3604.0,0.1379023307436182,76.5,8.9,9.3,0.8,4.6,0,0,0.0,0,0.0,0,0.0,0,0.0,278,0.5593561368209256,0,0.0,0,0.0,18,0.0362173038229376,179,0.3601609657947686,CA,21,LA MESA,0
lancaster elementary,2355.0,14837.0,0.1587248095976275,59.7,6.4,25.7,1.6,6.7,0,794,0.3371549893842887,46,0.0195329087048832,27,0.0114649681528662,19,0.0080679405520169,550,0.2335456475583864,17,0.0072186836518046,16,0.0067940552016985,114,0.0484076433121019,772,0.3278131634819533,CA,22,LAKE ELSINORE,1
las virgenes unified,1171.0,9660.0,0.1212215320910973,45.0,41.3,6.7,1.4,5.6,0,29,0.0247651579846285,0,0.0,44,0.0375747224594363,0,0.0,215,0.1836037574722459,43,0.0367207514944491,0,0.0,84,0.0717335610589239,746,0.637062339880444,CA,32,SOUTH LAKE TAHOE,2
lawndale elementary,774.0,4910.0,0.1576374745417515,59.9,13.4,13.4,0.9,12.3,0,82,0.1059431524547803,0,0.0,20,0.0258397932816537,0,0.0,607,0.7842377260981912,11,0.0142118863049095,0,0.0,15,0.0193798449612403,29,0.0374677002583979,CA,21,LANCASTER,1
